sku,nombre,categoria,tipo,costo,precio_actual,precio_propuesto,regla,recargo_pct,utilidad_pesos,margen_bruto_pct,variacion_pct,needs_review,manual_like,motivo_regla
FC-76040436,Mexsana P/Pies,Higiene,marca,49.29,78.87,70,higiene,40.0,20.71,29.6,-11.2,False,False,higiene
FC-F967863B,Terficho,Otro,marca,46.05,59.87,63,med_otc_marca,35.0,16.95,26.9,5.2,False,False,otc marca
FC-B25B4654,Cina,Otro,marca,28.87,37.54,39,med_otc_marca,35.0,10.13,26.0,3.9,False,False,otc marca
FC-174824A0,Vernisen,Otro,marca,12.38,16.1,18,med_otc_marca,35.0,5.62,31.2,11.8,False,False,otc marca
FC-41500096,De Cristal,Botiquín,marca,80.46,128.74,121,material_curacion,50.0,40.54,33.5,-6.0,False,False,material_curacion
FC-C721E8D7,Levofloxacino,Otro,generico,18.77,30.04,31,med_generico,60.0,12.23,39.5,3.2,False,False,generico+PA
FC-33956775,Pedialyte Sr60 Uva,Higiene,marca,24.3,38.89,33,bebidas_sueros,30.0,8.7,26.4,-15.1,False,False,bebidas_sueros
FC-83351691,Degasa Agua Oxigenada,Botiquín,marca,10.19,16.31,16,material_curacion,50.0,5.81,36.3,-1.9,False,False,material_curacion
FC-9A4E4C31,Clindamicina,Otro,generico,88.42,141.48,120,sin_clasificar,35.0,31.58,26.3,-15.2,True,False,ambiguo
FC-B18E386A,Cefaroxil,Otro,marca,44.44,57.78,60,med_otc_marca,35.0,15.56,25.9,3.8,False,False,otc marca
FC-A455EE80,Cefagen,Otro,marca,74.58,96.96,101,med_otc_marca,35.0,26.42,26.2,4.2,False,False,otc marca
FC-E374F23E,Cefagen,Otro,marca,48.48,63.03,66,med_otc_marca,35.0,17.52,26.5,4.7,False,False,otc marca
FC-2EDC6E3B,Cefagen,Otro,marca,82.09,106.72,111,med_otc_marca,35.0,28.91,26.0,4.0,False,False,otc marca
FC-D5AC44CA,Amifarin,Otro,marca,45.78,59.52,62,med_otc_marca,35.0,16.22,26.2,4.2,False,False,otc marca
FC-ACA2A2F6,Alopurinol,Otro,generico,21.46,34.34,35,med_generico,60.0,13.54,38.7,1.9,False,False,generico+PA
FC-20500201,Pert Plus Ac-Oliva,Higiene,marca,64.12,102.6,90,higiene,40.0,25.88,28.8,-12.3,False,False,higiene
FC-06226852,Axe Wom Anarchy,Higiene,marca,88.8,142.09,125,higiene,40.0,36.2,29.0,-12.0,False,False,higiene
FC-51444145,Old Spice,Higiene,marca,135.73,217.17,191,higiene,40.0,55.27,28.9,-12.1,False,False,higiene
FC-40CE757D,Cefalver,Otro,marca,62.48,81.23,85,med_otc_marca,35.0,22.52,26.5,4.6,False,False,otc marca
FC-1DA570E3,Cloxan,Otro,marca,9.75,12.68,15,med_otc_marca,35.0,5.25,35.0,18.3,False,True,otc marca
FC-8FB65B79,Klarix,Otro,marca,81.67,106.18,111,med_otc_marca,35.0,29.33,26.4,4.5,False,False,otc marca
FC-85BDBD3D,Acroxil-C,Otro,marca,25.42,33.05,35,med_otc_marca,35.0,9.58,27.4,5.9,False,False,otc marca
FC-2005DD57,Cefalexina,Otro,generico,39.84,63.75,64,med_generico,60.0,24.16,37.7,0.4,False,False,generico+PA
FC-CF719C07,Diclofen,Otro,marca,26.82,34.87,37,med_otc_marca,35.0,10.18,27.5,6.1,False,False,otc marca
FC-AEA8C8DA,Namifen,Otro,marca,24.28,31.57,33,med_otc_marca,35.0,8.72,26.4,4.5,False,False,otc marca
